username,Easy_pct,Medium_pct,Hard_pct,All_num,Easy_num,Medium_num,Hard_num
motloch,99.97,89.48,74.16,647,501,129,17
jbraden,97.78,75.12,70.12,244,178,52,14
alexzhang05,97.51,92.0,81.56,354,171,158,25
Jlucero805,87.48,53.41,,97,80,17,0
BharatUpadhyay,99.21,96.3,81.56,519,246,248,25
rockwell153,98.74,97.21,90.05,538,214,282,42
sahilshethiya,90.92,97.77,93.3,462,97,310,55
nonieno,98.02,98.18,95.08,586,185,335,66
md2030,99.86,99.88,99.55,1291,394,716,181
MohakHarjani,99.8,99.6,96.5,972,364,529,79
pankaj_777,78.99,91.06,89.38,240,54,146,40
kedarghadage,71.47,62.23,,67,40,26,1
itsseacer,61.33,76.71,74.16,102,28,57,17
beneath_ocean,92.17,90.8,66.85,260,105,143,12
SurajArc,96.22,85.91,71.59,261,146,100,15
KR_SHANU_IITG,99.38,99.8,99.34,1058,264,636,158
kartikrameshchavan2003,61.33,50.64,,44,28,15,1
sourabhpatil_26,67.85,55.78,20.32,56,35,19,2
CFCFan,99.16,96.71,91.22,550,242,262,46
huehuehue277353,95.09,94.64,84.3,364,131,204,29
grustamli,94.82,23.58,,133,128,5,0
ngocmj01,88.63,,,87,85,2,0
AlexTheGreat,92.86,99.07,95.21,595,110,418,67
ericprogramming123,91.41,94.91,86.53,343,100,210,33
rahulvats,94.35,95.36,97.46,436,123,221,92
hai4,69.39,62.23,20.32,65,37,26,2
JoeyMiao,40.63,57.91,,36,14,21,1
xuzewei_,,28.53,,8,1,6,1
blackyellow,17.9,32.43,,15,7,7,1
byronyi,78.99,81.95,62.82,142,54,78,10
TianyuXie,46.62,38.69,,27,17,9,1
qiweixian,67.85,82.93,20.32,120,35,83,2
EasonNie,66.21,87.54,79.19,167,33,112,22
lee215,92.46,97.27,97.99,494,107,285,102
vikas007,88.63,95.56,97.21,399,85,226,88
vinayakrg,95.5,99.21,98.87,704,136,439,129
virendra115,98.9,97.61,94.66,587,223,301,63
asadbek04_09,40.63,10.17,,17,14,3,0
Jabue,87.48,65.03,32.44,113,80,30,3
mindheist,79.43,66.85,20.32,90,55,33,2
omnific,55.66,68.98,60.41,69,23,37,9
LeoShi,93.7,97.04,96.03,466,117,275,74
CSeki,65.31,66.27,54.51,71,32,32,7
jinzhao672,96.59,97.79,97.21,551,152,311,88
Escape_Master_Dota2,99.53,99.55,98.87,929,287,513,129
n_b,93.48,76.71,40.26,176,115,57,4
kmjp,99.6,99.78,99.89,1216,301,616,299
bucketpotato,52.99,71.73,76.37,83,21,43,19
i_love_xiaoshagua_cpp,99.74,99.87,99.65,1246,338,709,199
JOHNKRAM,70.79,84.63,90.36,174,39,92,43
aging,98.58,99.06,99.05,761,206,417,138
nyu_ldf,88.85,93.0,97.64,354,86,173,95
winter_dragon,99.84,99.94,99.9,1564,386,863,315
arignote,96.35,98.5,98.13,611,148,358,105
balakrishnan_v,98.98,99.39,99.83,959,228,471,260
uwi,99.76,99.9,99.93,1445,345,755,345
endlesscheng,81.81,96.11,99.55,484,61,242,181
skywalkert,100.0,99.99,99.99,2468,606,1316,546
pku_erutan,99.95,99.97,99.98,1928,475,1010,443
awice,99.99,99.99,99.99,2266,567,1199,500
numb3r5,99.72,99.79,99.8,1203,332,627,244
maohua,22.34,10.17,,12,8,3,1
chrisad,26.35,23.58,,14,9,5,0
evang123,7.15,17.6,,10,5,4,1
abycyriac96,62.35,47.37,40.26,46,29,13,4
arignote,96.35,98.5,98.13,611,148,358,105
wwwwodddd,99.96,99.91,99.82,1521,484,783,254
lucifer1004,86.23,90.63,89.38,256,75,141,40
zerotrac2,95.5,98.0,99.29,613,136,323,154
tsreaper,99.66,99.66,99.82,1118,314,550,254
cuiaoxiang,99.59,99.81,99.82,1192,298,642,252
Yawn_Sean,44.76,84.04,92.67,157,16,89,52
superluminal,99.95,99.97,99.95,1838,474,989,375
cai_lw,99.81,99.92,99.91,1483,366,791,326
qwnjc,99.91,99.96,99.96,1771,432,940,399
sammochen,99.96,99.98,99.98,2029,486,1091,452
A_Le_K,99.9,99.97,99.96,1810,430,978,402
hxu10,99.98,99.99,99.99,2223,548,1170,505
megaspazz,99.87,99.95,99.94,1666,406,888,372
